,nama_user,rating,waktu,ulasan,preprocessing,stemming_ulasan
251,Binsar Albert Papaga,5,2022-06-09 13:48:38,Aplikasi sangat bermanfaat buat saya yang sering berpergian. Semua informasi listrik bisa saya akses dengan mudah,"['aplikasi', 'bermanfaat', 'berpergian', 'informasi', 'listrik', 'akses', 'mudah']",aplikasi manfaat pergi informasi listrik akses mudah
252,Komaria Hnp,5,2022-06-09 13:47:25,"Aplikasi ini sudah sangat membantu ,kita bisa mengetahui info tagihan,pemadaman, bagi yang mau pasang baru dan tambah daya jga dan apalagi kalo ada gangguan langsung ke aplikasi PLN mobile tanpa harus repot dan menghemat waktu untuk buat laporan kekantor PLN.","['aplikasi', 'membantu', 'informasi', 'tagihan', 'pemadaman', 'pasang', 'daya', 'gangguan', 'langsung', 'aplikasi', 'pln', 'mobile', 'repot', 'menghemat', 'laporan', 'kekantor', 'pln']",aplikasi bantu informasi tagih madam pasang daya ganggu langsung aplikasi pln mobile repot hemat lapor kantor pln
253,soleh pln,5,2022-06-09 13:44:51,"Mantap aplikasi ny...... Mnta d tambah menu ny spya kita bisa tahu, status permohonan pasang baru ato perubahan daya ny..... Apakah sedang d proses ato belum oleh pln ny... Terima kasih...","['mantap', 'aplikasi', 'ny', 'menu', 'nya', 'status', 'permohonan', 'pasang', 'perubahan', 'daya', 'ny', 'proses', 'pln', 'ny', 'terima', 'kasih']",mantap aplikasi ny menu nya status mohon pasang ubah daya ny proses pln ny terima kasih
254,Andhy Prasetiawan,5,2022-06-09 13:39:58,Super apps.. mempermudah akses pelayanan PLN dan juga fitur pengaduannya yg responsif.. semoga dapat dikembangkan lebih baik lagi.. 👍,"['super', 'apps', 'mempermudah', 'akses', 'pelayanan', 'pln', 'fitur', 'pengaduannya', 'responsif', 'semoga', 'dikembangkan']",super apps mudah akses layan pln fitur adu responsif moga kembang
255,Abdul Mazid,5,2022-06-09 13:37:43,"Mantap.. Aplikasinya selalu berkembang, aplikasinya bermanfaat banget ada masalah kelistrikan sekarang jadi mudah mantap PLN","['mantap', 'aplikasinya', 'berkembang', 'aplikasinya', 'bermanfaat', 'banget', 'kelistrikan', 'mudah', 'mantap', 'pln']",mantap aplikasi kembang aplikasi manfaat banget listrik mudah mantap pln
256,ahmad sofyan,5,2022-06-09 13:26:32,"Aplikasi yang sangat membatu, bisa lapor gangguan, bisa lapor terkait masalah rekening atau token, bisa bayar listrik tanpa biaya admin, pasang baru dan tambah daya juga mudah, pokoknya mantab deh Semoga pln kedepan semakin jaya Aamiin,","['aplikasi', 'membatu', 'lapor', 'gangguan', 'lapor', 'terkait', 'rekening', 'token', 'bayar', 'listrik', 'biaya', 'admin', 'pasang', 'daya', 'mudah', 'pokoknya', 'mantap', 'deh', 'semoga', 'pln', 'kedepan', 'jaya', 'aamiin']",aplikasi batu lapor ganggu lapor kait rekening token bayar listrik biaya admin pasang daya mudah pokok mantap deh moga pln depan jaya aamiin
257,Agung Pratomo,3,2022-06-09 13:16:36,Laporan gangguan sangat baik dan cepat proses tindak lanjutnya... Tapi operator di luar gangguan seperti permohonan dan keluahan kurang tanggap tidak jelas menyampaikan informasinya...,"['laporan', 'gangguan', 'cepat', 'proses', 'tindak', 'operator', 'gangguan', 'permohonan', 'keluhan', 'tanggap', 'informasinya']",lapor ganggu cepat proses tindak operator ganggu mohon keluh tanggap informasi
258,alsaut abdul,5,2022-06-09 13:05:30,"Sangat mudah pemakaiannya dan bisa memantau gangguan yang ada diwilayah kita sendiri dan progressnya mantap,mungkin masukan klo bsa ada semakin banyak promo pb/pd atau voucher listrik yang lain, biar pd betah plg mantengin ni aplikasi hehe","['mudah', 'pemakaiannya', 'memantau', 'gangguan', 'diwilayah', 'progressnya', 'mantap', 'masukan', 'kalo', 'promo', 'pb', 'pd', 'voucher', 'listrik', 'biar', 'betah', 'pulang', 'mantengin', 'aplikasi', 'he']",mudah pakai pantau ganggu wilayah progressnya mantap masuk kalo promo pb pd voucher listrik biar betah pulang mantengin aplikasi he
259,rusma yenti,5,2022-06-09 12:59:28,Sejak pakai aplikasi PLN mobile setiap keluhan cepat ditanggapi dan mudah menemukan alamat. Pembelian token juga mudah.,"['pakai', 'aplikasi', 'pln', 'mobile', 'keluhan', 'cepat', 'ditanggapi', 'mudah', 'menemukan', 'alamat', 'pembelian', 'token', 'mudah']",pakai aplikasi pln mobile keluh cepat tanggap mudah temu alamat beli token mudah
260,Aray,5,2022-06-09 12:45:36,"Sangat membantu, kemudahan dalam bertransaksi yg berhubungan dengan pln .Semoga ke depan nya lebih baik Dan maksimal. Terimakasih PLN","['membantu', 'kemudahan', 'bertransaksi', 'berhubungan', 'pln', 'semoga', 'nya', 'maksimal', 'terima', 'kasih', 'pln']",bantu mudah transaksi hubung pln moga nya maksimal terima kasih pln
261,Hardi Family,5,2022-06-09 12:42:11,Mempermudah untuk pengecekan tagihan..tambah daya..pasang baru..dan masih banyak lagii.. Makasih PLN Mobile..,"['mempermudah', 'pengecekan', 'tagihan', 'daya', 'pasang', 'lagii', 'terima', 'kasih', 'pln', 'mobile']",mudah kece tagih daya pasang lagi terima kasih pln mobile
262,Dwi Yuda,5,2022-06-09 12:31:11,"Aplikasi sangat baik, dengan fitur menu yang mudah di pahami dan bertransaksi jadi semakin Cepat 👍","['aplikasi', 'fitur', 'menu', 'mudah', 'pahami', 'bertransaksi', 'cepat']",aplikasi fitur menu mudah paham transaksi cepat
263,Deni Kurniadi,5,2022-06-09 12:25:21,"Sangat membantu untuk melihat tagihan,pengaduan,pasang baru,tambah daya ,migrasi dan info terkini di pln","['membantu', 'tagihan', 'pengaduan', 'pasang', 'daya', 'migrasi', 'informasi', 'terkini', 'pln']",bantu tagih adu pasang daya migrasi informasi kini pln
264,yul1 anto,5,2022-06-09 12:23:55,"Aplikasi yang sangat bagus. Sangat membantu permasalahan kelistrikan. Dapat mengetahui area pemadaman, pasang baru, tambah data dan migrasi. Terima kasih PLN","['aplikasi', 'bagus', 'membantu', 'permasalahan', 'kelistrikan', 'area', 'pemadaman', 'pasang', 'data', 'migrasi', 'terima', 'kasih', 'pln']",aplikasi bagus bantu masalah listrik area madam pasang data migrasi terima kasih pln
265,ibnu raditya,5,2022-06-09 12:18:00,"Mantap, sangat membantu untuk mempermudah laporan, pelayanan cepat dan baik.. terimakasih PLN","['mantap', 'membantu', 'mempermudah', 'laporan', 'pelayanan', 'cepat', 'terima', 'kasih', 'pln']",mantap bantu mudah lapor layan cepat terima kasih pln
266,arubeto higashi,5,2022-06-09 12:12:07,"Awalnya ribet, setelah di pelajari ternyata banyak manfaatnya. Lebih mudah dalam pelaporan gangguan maupun tambah daya. Terimakasih PLN","['ribet', 'pelajari', 'manfaatnya', 'mudah', 'pelaporan', 'gangguan', 'daya', 'terima', 'kasih', 'pln']",ribet ajar manfaat mudah lapor ganggu daya terima kasih pln
267,Amanul Ikhsan,5,2022-06-09 12:10:56,"Aplikasi yang sangat bermanfaat, mempermudah melihat saldo token, lapor gangguan juga lebih mudah dan cepat.","['aplikasi', 'bermanfaat', 'mempermudah', 'saldo', 'token', 'lapor', 'gangguan', 'mudah', 'cepat']",aplikasi manfaat mudah saldo token lapor ganggu mudah cepat
268,bangun adi ismono,5,2022-06-09 12:08:39,"Banyak menu yg terus menerus diperbaharui, yang sangat membantu dalam pemakaian listrik sehari-hari. Mantap.","['menu', 'menerus', 'diperbaharui', 'membantu', 'pemakaian', 'listrik', 'sehari', 'mantap']",menu terus baharu bantu pakai listrik hari mantap
269,Tito Setyo Reynaldi,5,2022-06-09 12:05:15,"Aplikasi sangat bagus, membantu sekali dalam hal membeli token dan pengaduan dari aplikasi sangat mudah dan cepat di tanggapi. Terimakasih PLN MOBILE 👍🏽⚡️","['aplikasi', 'bagus', 'membantu', 'membeli', 'token', 'pengaduan', 'aplikasi', 'mudah', 'cepat', 'tanggapi', 'terima', 'kasih', 'pln', 'mobile']",aplikasi bagus bantu beli token adu aplikasi mudah cepat tanggap terima kasih pln mobile
270,Achmad Sofian,1,2022-06-09 12:05:11,Ribet Mau pasang token listrik baru aja harus pake LSO dan NIDI dengan proses yang ini itulah dan kita harus menunggu sertifikat tersebut entah kapan dengan pembayaran terlebih dahulu.Inilah mending Calo sekalian dengan nilai budget selisih tanpa harus ribet waktu.,"['sulit', 'pasang', 'token', 'listrik', 'pakai', 'lso', 'nidi', 'proses', 'menunggu', 'sertifikat', 'gatau', 'pembayaran', 'makelar', 'nilai', 'budget', 'selisih', 'sulit']",sulit pasang token listrik pakai lso nidi proses tunggu sertifikat gatau bayar makelar nilai budget selisih sulit
271,Sandi Aziz Akbar,5,2022-06-09 12:04:26,"Aplikasi bagus sangat membantu,, untuk pembayar listrik lebih mudah,, respon cepat.","['aplikasi', 'bagus', 'membantu', 'pembayar', 'listrik', 'mudah', 'respon', 'cepat']",aplikasi bagus bantu bayar listrik mudah respon cepat
272,A man,5,2022-06-09 11:57:47,"Aplikasi sangat membantu, bisa tau info pemadaman, tagihan,pasang baru migrasi dan tambah daya, bisa pengaduan menghemat waktu tanpa harus datang ke kantor PLN.","['aplikasi', 'membantu', 'informasi', 'pemadaman', 'tagihan', 'pasang', 'migrasi', 'daya', 'pengaduan', 'menghemat', 'kantor', 'pln']",aplikasi bantu informasi madam tagih pasang migrasi daya adu hemat kantor pln
273,Dwi Indra,5,2022-06-09 11:57:46,"Aplikasi sangat membantu, bisa dpt info pemadaman, tagihan, pasang baru dan tambah daya, tanpa datang ke kantor PLN.","['aplikasi', 'membantu', 'informasi', 'pemadaman', 'tagihan', 'pasang', 'daya', 'kantor', 'pln']",aplikasi bantu informasi madam tagih pasang daya kantor pln
274,Najaw Izza Addinillah,5,2022-06-09 11:54:44,"Aplikasinya sudah bagus, sekarang sudah ada fitur belanja juga, jadi sekarang sudah komplit, bisa bersaing sekarang, semoga fiturnya terus bertambah","['aplikasinya', 'bagus', 'fitur', 'belanja', 'komplit', 'bersaing', 'semoga', 'fiturnya', 'bertambah']",aplikasi bagus fitur belanja komplit saing moga fiturnya tambah
275,adjie bp,5,2022-06-09 11:48:13,sangat bermanfaat dengan adanya pln mobile.mengetahui info tentang PLN lebih mudah dan pengisian pulsa token juga lebih praktis.,"['bermanfaat', 'pln', 'mobile', 'informasi', 'pln', 'mudah', 'pengisian', 'pulsa', 'token', 'praktis']",manfaat pln mobile informasi pln mudah isi pulsa token praktis
276,Agoeng Satryoso,5,2022-06-09 11:44:44,"Simple & mudah,,semua nya semakin mudah dengan 1 aplikasi untuk semua transaksi...PLN MOBILE","['simpel', 'mudah', 'nya', 'mudah', 'aplikasi', 'transaksi', 'pln', 'mobile']",simpel mudah nya mudah aplikasi transaksi pln mobile
277,Hen Aciak81,1,2022-06-09 11:38:25,"Aplikasi eror, tidak bermutu, Pelayanan tidak sesuai dengan jadwal yang telah ditentukan, saya sudah melakukan pembayaran dari tanggal 17 Mei 2022, tapi sampai sekarang belum ada tanggapan, katanya 10 hari kerja, ini sudah 1 bulan belum ada respon, aplikasi apaan kaya ini, aplikasi tidak bermutu, uangnya memang tidak seberapa, apa ini aplikasi abal - abal, ada yang mendaftar ke agen langsung di pasang, ini sudah melalui aplikasi PLN Mobile,","['aplikasi', 'eror', 'bermutu', 'pelayanan', 'sesuai', 'jadwal', 'ditentukan', 'pembayaran', 'tanggal', 'mei', 'tanggapan', 'kerja', 'respon', 'aplikasi', 'kayak', 'aplikasi', 'bermutu', 'uangnya', 'aplikasi', 'abal', 'abal', 'mendaftar', 'agen', 'langsung', 'pasang', 'aplikasi', 'pln', 'mobile']",aplikasi eror mutu layan sesuai jadwal tentu bayar tanggal mei tanggap kerja respon aplikasi kayak aplikasi mutu uang aplikasi abal abal daftar agen langsung pasang aplikasi pln mobile
278,Thania gita kirana masdi,1,2022-06-09 11:31:11,"Tidak ada tindakan lanjut terkait pemasangan iconnet diwilayah saya, memang tidak tercover tapi sudah lewat beberapa bulan tidak ada pemberitahuan lebih lanjut. Kecewa :(","['tindakan', 'terkait', 'pemasangan', 'iconnet', 'diwilayah', 'tercover', 'pemberitahuan', 'kecewa']",tindak kait pasang iconnet wilayah tercover pemberitahuan kecewa
279,Agus Rahayu,5,2022-06-09 11:24:35,"Dengan aplikasi plnmobile, menjadi lebih mudah,praktis dan efisien, semoga ke depan lebih canggih lagi.👍","['aplikasi', 'plnmobile', 'mudah', 'praktis', 'efisien', 'semoga', 'canggih']",aplikasi plnmobile mudah praktis efisien moga canggih
280,ALFATH ALGHIFARI ALIFA,5,2022-06-09 11:23:21,"Sangat Membantu utk Layanan Kelistrikan, Mudah dan efisien dari sisi Biaya, semua makin mudah","['membantu', 'layanan', 'kelistrikan', 'mudah', 'efisien', 'sisi', 'biaya', 'mudah']",bantu layan listrik mudah efisien sisi biaya mudah
281,rudy hartono,5,2022-06-09 11:07:17,"Aplikasi yg sangat membatu sekali, laporan gangguan cepat direspon tdk sampai 1 jam sdh ditangani dgn baik, pembelian token tanpa biaya admin...semoga aplikasinya dpt berkembang lagi dgn fitur yg lainnya👍🏻👍🏻👍🏻","['aplikasi', 'membantu', 'laporan', 'gangguan', 'cepat', 'direspon', 'jam', 'ditangani', 'pembelian', 'token', 'biaya', 'admin', 'semoga', 'aplikasinya', 'berkembang', 'fitur']",aplikasi bantu lapor ganggu cepat direspon jam tangan beli token biaya admin moga aplikasi kembang fitur
282,Negla sari,1,2022-06-09 10:52:11,Saya heran sudah dftar dan saya sudah bayar sudah trhubung juga melalui wa tetapi tidak ad respon yg pasti kapan pemasangan jaringannya..heran,"['heran', 'daftar', 'bayar', 'terhubung', 'whatsapp', 'respon', 'pemasangan', 'jaringannya', 'heran']",heran daftar bayar hubung whatsapp respon pasang jaring heran
283,Mujisy Simoetzie,5,2022-06-09 10:34:31,Sangat terbantu dengan aplikasi ini. Semoga ke depan bisa jauh lebih baik dengan fitur2 andalan.,"['terbantu', 'aplikasi', 'semoga', 'fitur', 'andalan']",bantu aplikasi moga fitur andal
284,Donna Chandra Wahyu,5,2022-06-09 10:32:44,Dapat tersajikan dengan baik info tagihan listrik bulanannya. Jadi tahu naik turunnya pemakaian listrik. Bahkan ketika mencatatkan angka stand meternya juga sesuai dengan yang dituliskan.,"['tersajikan', 'informasi', 'tagihan', 'listrik', 'bulanannya', 'turunnya', 'pemakaian', 'listrik', 'mencatatkan', 'angka', 'stand', 'meternya', 'sesuai', 'dituliskan']",saji informasi tagih listrik bulan turun pakai listrik catat angka stand meter sesuai tulis
285,J - N0L27,1,2022-06-09 10:25:32,"Ada yang merasa pasang inconet token listrik jadi cepat habis jika internetnya di pakai banyak user/ sering buka youtube di tv. Sya eksperiman ni,biasa token 200k/perbulan sblm pasang iconet. Skrg jdi 400k setelah pasang iconet degan pemakaian internet +-10jam untuk buka youtube di tv. token 100k cuma bertahan 7hari. skrg anak istri sya sdng mudik internet jrng di pakai. Token 100k bisa bertahan 2mingguan. jdi merasa rugi ya udh bayar bulanan + token listrik jdi besar.","['pasang', 'iconnet', 'token', 'listrik', 'cepat', 'habis', 'internetnya', 'pakai', 'user', 'buka', 'youtube', 'tv', 'eksperiman', 'ni', 'token', 'k', 'perbulan', 'pasang', 'iconet', 'k', 'pasang', 'iconnet', 'pemakaian', 'internet', 'jam', 'buka', 'youtube', 'tv', 'token', 'k', 'bertahan', 'anak', 'istri', 'mudik', 'internet', 'jarang', 'pakai', 'token', 'k', 'bertahan', 'mingguan', 'rugi', 'iya', 'bayar', 'bulanan', 'token', 'listrik']",pasang iconnet token listrik cepat habis internetnya pakai user buka youtube tv eksperiman ni token k bulan pasang iconet k pasang iconnet pakai internet jam buka youtube tv token k tahan anak istri mudik internet jarang pakai token k tahan minggu rugi iya bayar bulan token listrik
286,Mifta Yulianto,4,2022-06-09 07:15:31,"Daftar instalatir resmi tidak muncul, bs jadi celah untuk korupsi dan kolusi, ternyata customer service ok banget, menerangkan dengan detail, sayang upgrade akun saya terkendala karena beda nama di ktp","['daftar', 'instalatir', 'resmi', 'muncul', 'celah', 'korupsi', 'kolusi', 'customer', 'service', 'bagus', 'banget', 'menerangkan', 'detail', 'sayang', 'meningkatkan', 'akun', 'terkendala', 'beda', 'nama', 'ktp']",daftar instalatir resmi muncul celah korupsi kolusi customer service bagus banget terang detail sayang tingkat akun kendala beda nama ktp
287,Dhi Nandi,5,2022-06-08 22:28:59,"Aplikasi sangat membantu,, peanganan di lapangan sangat cepat dan tanggap ,, terimkasih kepada pekerja lapangan lapangan 🙏🙏","['aplikasi', 'membantu', 'penanganan', 'lapangan', 'cepat', 'tanggap', 'terimkasih', 'pekerja', 'lapangan']",aplikasi bantu tangan lapang cepat tanggap terimkasih kerja lapang
288,Sumiati Rahmawati,1,2022-06-08 21:55:27,Ini kenapa abis di update gak bisa melihat data tagihan... Malah tidak membantu sama sekali... Bintang 1 klo gitu,"['habis', 'perbarui', 'data', 'tagihan', 'membantu', 'bintang', 'kalo']",habis baru data tagih bantu bintang kalo
289,nani sri Rejeki,5,2022-06-08 21:00:06,"Aplikasi pln sg kenapa error mulu ya, sdh di update malah tambah error. Padahal enak beli token listrik di aplikasi pln ini, mudah gak ribet. Tolong diperbaiki lagi aplikasi nya ya.","['aplikasi', 'pln', 'sg', 'error', 'ya', 'perbarui', 'error', 'enak', 'beli', 'token', 'listrik', 'aplikasi', 'pln', 'mudah', 'ribet', 'tolong', 'diperbaiki', 'aplikasi', 'nya', 'ya']",aplikasi pln sg error ya baru error enak beli token listrik aplikasi pln mudah ribet tolong baik aplikasi nya ya
290,Suyatun Nanda Dwi CP,1,2022-06-08 16:23:45,Aplikasi sangat tidak berguna Tidak ada fungsinya buat apa coba aplikasi burik ini jangan di download nanti nyesel Aplikasi nggak bergunaaaa!!!!!!,"['aplikasi', 'berguna', 'fungsinya', 'coba', 'aplikasi', 'jelek', 'unduh', 'menyesal', 'aplikasi', 'bergunaa']",aplikasi guna fungsi coba aplikasi jelek unduh sesal aplikasi bergunaa
291,Muhammad Ali AL,5,2022-06-08 15:42:40,"Aplikasi sudah semakin baik. Cuman atau disayangkan Info Pelayanan Listrik via Notifikasi selalu telat tidak REALTIME dgn kejadian masalah listrik pada saat itu. Jadi, pelanggan slalu bertanya-tanya kenapa padam listrik terlalu lama diatas standarnya. Lebih dari 6 jam. Biayanya pemadaman bergilir cuman 4 jam.","['aplikasi', 'disayangkan', 'informasi', 'pelayanan', 'listrik', 'via', 'pemberitahuan', 'terlambat', 'realtime', 'kejadian', 'listrik', 'pelanggan', 'padam', 'listrik', 'diatas', 'standarnya', 'jam', 'biayanya', 'pemadaman', 'bergilir', 'jam']",aplikasi sayang informasi layan listrik via pemberitahuan lambat realtime jadi listrik langgan padam listrik atas standar jam biaya madam gilir jam
292,Fiestaman,1,2022-06-08 14:01:24,"Aplikasi gak guna, gak ada faedahnyas sama sekali. Beli token, 5 hari baru keluar no. Vouchernya. Aplikasi cuma buat makan uang negara aja","['aplikasi', 'faedahnya', 'beli', 'token', 'no', 'vouchernya', 'aplikasi', 'makan', 'uang', 'negara']",aplikasi faedah beli token no vouchernya aplikasi makan uang negara
293,Kang Tutorial,1,2022-06-08 13:54:23,"Mantap betul, Pembayaran sudah lunas sejak 18 April lalu untuk berlangganan iconnet. Sampai saat ini belum ada pemasangan. Sudah komplen, tapi jawabannya selalu diminta untuk menunggu.","['mantap', 'pembayaran', 'lunas', 'april', 'berlangganan', 'iconnet', 'pemasangan', 'komplen', 'jawabannya', 'menunggu']",mantap bayar lunas april langgan iconnet pasang komplen jawab tunggu
294,Agst Setiawan,3,2022-06-08 13:34:06,"kenapa di aplikasi pln jaringan iconnet sudah tercover lalu saya melakukan registrasi tapi besoknya saya di wa katanya jaringan iconet dalam tahap pembangunan di wilayah anda,, kapan tahap pembangunan itu selesai?","['aplikasi', 'pln', 'jaringan', 'iconnet', 'tercover', 'registrasi', 'besoknya', 'whatsapp', 'jaringan', 'iconnet', 'tahap', 'pembangunan', 'wilayah', 'tahap', 'pembangunan', 'selesai']",aplikasi pln jaring iconnet tercover registrasi besok whatsapp jaring iconnet tahap bangun wilayah tahap bangun selesai
295,Cah Bagus,3,2022-06-08 13:26:46,"Bintang 3 karna = Yang pertama : Saya tidak bisa cek sisa token di rumah via apl ini,karna rumah saya jauh dan jarang di tempati. Pernah smp kehabisan dalam waktu lama dn terblokir. Ke dua : Token listrik yang gagal di masukan karna meteran listrik rusak,tidak ada penggantian. Padahal sudah tanyakan ke petugas tp tidak ada tidak lanjut apa lagi penggantian. Terima kasih","['bintang', 'cek', 'sisa', 'token', 'rumah', 'via', 'aplikasi', 'karna', 'rumah', 'jarang', 'tempati', 'kehabisan', 'terblokir', 'token', 'listrik', 'gagal', 'masukan', 'meteran', 'listrik', 'rusak', 'penggantian', 'petugas', 'penggantian', 'terima', 'kasih']",bintang cek sisa token rumah via aplikasi karna rumah jarang tempat habis blokir token listrik gagal masuk meter listrik rusak ganti tugas ganti terima kasih
296,Ian Prapa,5,2022-06-08 13:25:47,"Maaf min, aplikasi PLN mobile nya ada masalah lagi, tidak dapat bayar menggunakan linkaja, selalu terjadi error, tolong perbaikannya","['maaf', 'min', 'aplikasi', 'pln', 'mobile', 'nya', 'bayar', 'linkaja', 'error', 'tolong', 'perbaikannya']",maaf min aplikasi pln mobile nya bayar linkaja error tolong baik
297,Satria Oktavian,5,2022-06-08 13:13:24,"Aplikasi yang sangat bagus, dikarenakan 2 kali saya menggunakan untuk laporan pengaduan, kedua laporan saya teratasi. Mohon tetap konsisten dalam pelayanan. Terima kasih","['aplikasi', 'bagus', 'kali', 'laporan', 'pengaduan', 'laporan', 'teratasi', 'mohon', 'konsisten', 'pelayanan', 'terima', 'kasih']",aplikasi bagus kali lapor adu lapor atas mohon konsisten layan terima kasih
298,Mahyaruddin Salim,1,2022-06-08 13:12:40,"Aplikasi error, aplikasi nya sakit, sudah melakukan pendaftaran iconnet dari tgl 17 mei 2022 dan telah melakukan pembayaran tapi sampai saat ini belum ada konfirmasi mengenai pemasangan, anehnya pada aplikasi meminta melakukan pembayaran tagihan, sdah melakukan konfirmasi wa dari cc tapi tdak ada balasan dan melakukan telp ke cc tanggapan nya hanya disuruh menunggu yg tidak pasti.","['aplikasi', 'error', 'aplikasi', 'nya', 'sakit', 'pendaftaran', 'iconnet', 'tanggal', 'mei', 'pembayaran', 'konfirmasi', 'pemasangan', 'anehnya', 'aplikasi', 'pembayaran', 'tagihan', 'konfirmasi', 'whatsapp', 'cc', 'balasan', 'telepon', 'cc', 'tanggapan', 'nya', 'disuruh', 'menunggu']",aplikasi error aplikasi nya sakit daftar iconnet tanggal mei bayar konfirmasi pasang aneh aplikasi bayar tagih konfirmasi whatsapp cc balas telepon cc tanggap nya suruh tunggu
299,Fanny Jambi,5,2022-06-08 11:44:44,aplikasi sangat membantu dalam pembayaran pln dan untuk mengecek sisa token.. hanya untuk pengaduan jika mengalami kendala itu lama prosesnya. trimakasih,"['aplikasi', 'membantu', 'pembayaran', 'pln', 'mengecek', 'sisa', 'token', 'pengaduan', 'mengalami', 'kendala', 'prosesnya', 'terima', 'kasih']",aplikasi bantu bayar pln ecek sisa token adu alami kendala proses terima kasih
300,AB HAir,3,2022-06-08 11:33:24,"Untuk upload foto, kamera depan pasti ngeblur udah ganti HP yang lain yang lebih bagus hasil nya tetap sama, padahal kamera depan untuk digunakan foto biasa hasilnya sangat bagus, tapi untuk apps ini hasilnya jadi tidak bagus.","['unggah', 'foto', 'kamera', 'ngeblur', 'ganti', 'hp', 'bagus', 'hasil', 'nya', 'kamera', 'foto', 'hasilnya', 'bagus', 'aplikasi', 'hasilnya', 'bagus']",unggah foto kamera ngeblur ganti hp bagus hasil nya kamera foto hasil bagus aplikasi hasil bagus
301,Sucidwihandayani 97,5,2022-06-08 11:30:16,Gk pernah kecewa sama apk ini. Bagus banget sangat membantu. Pengaduan selalu cepat di respon serta petugas yg ramah..,"['kecewa', 'aplikasi', 'bagus', 'banget', 'membantu', 'pengaduan', 'cepat', 'respon', 'petugas', 'ramah']",kecewa aplikasi bagus banget bantu adu cepat respon tugas ramah
302,F2 Channel,1,2022-06-08 10:27:29,"Sudah melakukan pembayaran, tidak ada pemasangan internet katanya bok penuh, sampai sekarang tidak ada solusi pengembalian dana atau pemasangan internet. Melakukan chat melalui Whatapp dan Facebook tetap tidak mendapatkan solusinya.. Setelah di app PLN mobile di update riwayat pembayaran kita hilang... Bagaimana ❓","['pembayaran', 'pemasangan', 'internet', 'bok', 'penuh', 'solusi', 'pengembalian', 'dana', 'pemasangan', 'internet', 'chat', 'whatapp', 'facebook', 'solusinya', 'aplikasi', 'pln', 'mobile', 'perbarui', 'riwayat', 'pembayaran', 'hilang']",bayar pasang internet bok penuh solusi kembali dana pasang internet chat whatapp facebook solusi aplikasi pln mobile baru riwayat bayar hilang
303,Rian Pranata,1,2022-06-08 10:08:51,Aplikasi taik kalau ada kendala tidak ada yang bisa dihubungin... Telp cs. Lewat email masih aja tidak ada respon.,"['aplikasi', 'tahi', 'kendala', 'dihubungin', 'telepon', 'cs', 'email', 'respon']",aplikasi tahi kendala dihubungin telepon cs email respon
304,resti febriany,5,2022-06-08 09:18:24,Aaplikasi nya sering ngadat.. lagi live chat tiba2 gak bisa respon.. ngetik aja gak bisa.. ampuuun dah ni aplikasi Diatas adalah respon saya utk aplikasi ini sebelumnya.. namun respon yg diberikan pln cepat.. terimakash utk pelayanan nya.. mohon utk ditingkatkan kembali.. 🙏,"['aaplikasi', 'nya', 'ngadat', 'live', 'chat', 'respon', 'mengetik', 'ampun', 'deh', 'aplikasi', 'diatas', 'respon', 'aplikasi', 'respon', 'pln', 'cepat', 'terimakash', 'pelayanan', 'nya', 'mohon', 'ditingkatkan']",aaplikasi nya ngadat live chat respon etik ampun deh aplikasi atas respon aplikasi respon pln cepat terimakash layan nya mohon tingkat
305,Aan Eko,5,2022-06-08 08:27:45,Gimana sih Pak... Wifi belom di pasang di rumah kok sudah suruh bayar lagi biaya bulanan nya... Bikin aplikasi kayak mainan anak kecil aja..,"['sih', 'wifi', 'pasang', 'rumah', 'suruh', 'bayar', 'biaya', 'bulanan', 'nya', 'aplikasi', 'kayak', 'mainan', 'anak', 'aja']",sih wifi pasang rumah suruh bayar biaya bulan nya aplikasi kayak main anak aja
306,Heri Utomo,5,2022-06-08 08:12:56,Cukup membantu kalo adamasalah pasang baru dan tambah daya serta pengaduan gangguan.Sudah saya buktikan sendiri.,"['membantu', 'adamasalah', 'pasang', 'daya', 'pengaduan', 'gangguan', 'buktikan']",bantu adamasalah pasang daya adu ganggu bukti
307,Siti Aminah,1,2022-06-08 06:28:44,"Tidak sesuai harapan, dan masih banyak alasan petugas lapangan dengan alasan nambah biaya tarik kabel yang lumayan jauh padahal instalasi paralel ada yang dekat dengan rumah, biar bisa dapat uang","['sesuai', 'harapan', 'alasan', 'petugas', 'lapangan', 'alasan', 'bertambah', 'biaya', 'tarik', 'kabel', 'lumayan', 'instalasi', 'paralel', 'rumah', 'biar', 'uang']",sesuai harap alas tugas lapang alas tambah biaya tarik kabel lumayan instalasi paralel rumah biar uang
308,Adies Kiniko,1,2022-06-08 00:58:50,"CS nya lambat dalam membalas pesan, suruh belajar baca dulu cs nya, terus ilmunya di tambah lagi, pakai yang benar-benar tau masalah listrik, saya rasa masih banyak cs yg lbh pintar di luar sana,","['cs', 'nya', 'lambat', 'membalas', 'pesan', 'suruh', 'belajar', 'baca', 'cs', 'nya', 'ilmunya', 'pakai', 'listrik', 'cs', 'pintar']",cs nya lambat balas pesan suruh ajar baca cs nya ilmu pakai listrik cs pintar
