,nama_user,rating,waktu,ulasan,preprocessing
142,Yuliati Yusuf,5,2022-06-16 06:12:02,"Sangat membantu, sudah 2 kali pengaduan dilayani dengan baik.. Tidak susah² melapor ke kantor, dan pihak PLN juga tidak susah² ke rumah untuk perbaiki permasalahan listrik yang ada. Pokoknya aplikasinya bagus sekali👍🏻","sangat membantu, sudah 2 kali pengaduan dilayani dengan baik.. tidak susah² melapor ke kantor, dan pihak pln juga tidak susah² ke rumah untuk perbaiki permasalahan listrik yang ada. pokoknya aplikasinya bagus sekali👍🏻"
143,Babang Salim,4,2022-06-16 05:45:23,"untuk aplikasi saya kasih 4 star dulu. mengingat loading-nya mulai dari buka aplikasi sampai berpindah-pindah menu yang masih tergolong lama. delay atau jedanya lama, padahal kapasitas aplikasinya ringan sekali. untuk kegunaannya, ini aplikasi useful banget. responnya nggak pakai lama. Dan pelayanannya nggak ribet. Bisa langsung diarahkan pakai telpon dan w.a.. keren, aduan PLN jadi semakin nyaman.","untuk aplikasi saya kasih 4 star dulu. mengingat loading-nya mulai dari buka aplikasi sampai berpindah-pindah menu yang masih tergolong lama. delay atau jedanya lama, padahal kapasitas aplikasinya ringan sekali. untuk kegunaannya, ini aplikasi useful banget. responnya nggak pakai lama. dan pelayanannya nggak ribet. bisa langsung diarahkan pakai telpon dan w.a.. keren, aduan pln jadi semakin nyaman."
144,nuril absor,5,2022-06-16 04:27:54,"Saya kasih bintang 5 sebagai bentuk apresiasi dan dukungan meskipun kenyataannya berbeda. Sebab saya yakin PLN akan terus berusaha untuk berbenah dan menjadi lebih baik kedepannya. Saran saja mohon ditingkatkan kualitas servernya, karena jawaban dari sistem semua berbeda mulai dari daftar, riwayat pengajuan, status transaksi dsb sehingga membingungkan kami sbg pelanggan dan menjadi pertanyaan tersendiri mana yg valid dr berbagai status dan jawaban server","saya kasih bintang 5 sebagai bentuk apresiasi dan dukungan meskipun kenyataannya berbeda. sebab saya yakin pln akan terus berusaha untuk berbenah dan menjadi lebih baik kedepannya. saran saja mohon ditingkatkan kualitas servernya, karena jawaban dari sistem semua berbeda mulai dari daftar, riwayat pengajuan, status transaksi dsb sehingga membingungkan kami sbg pelanggan dan menjadi pertanyaan tersendiri mana yg valid dr berbagai status dan jawaban server"
145,Husen Jailani,5,2022-06-15 23:02:55,Awalnya agak bingung untuk pengaduan dlm aplikasinya lebih di sederhanakan lagi .. namun untuk responnya adminnya sanggat cekatan cepat tanggap sukses selalu.,awalnya agak bingung untuk pengaduan dlm aplikasinya lebih di sederhanakan lagi .. namun untuk responnya adminnya sanggat cekatan cepat tanggap sukses selalu.
146,BAGJA SUBAGJA tv,3,2022-06-15 22:00:39,"Mohon maaf saya kasih rating jelek, soalnya saya mau mengajukan pemasangan baru tapi ribet nya minta ampun, soalnya harus ngurus nidi sama slo di tempat yg terpisah, kenapa untuk pengurusan nidi sama slo ngga di bikin di PLN langsung di bikin satu pintu di aplikasi , bukan harus kesana kesini, bukan nya di buat alpikasi itu biar tambah mudah ya","mohon maaf saya kasih rating jelek, soalnya saya mau mengajukan pemasangan baru tapi ribet nya minta ampun, soalnya harus ngurus nidi sama slo di tempat yg terpisah, kenapa untuk pengurusan nidi sama slo ngga di bikin di pln langsung di bikin satu pintu di aplikasi , bukan harus kesana kesini, bukan nya di buat alpikasi itu biar tambah mudah ya"
147,Prabha Satwika,5,2022-06-15 20:49:23,"Fitur aplikasi sangat bermanfaat dan praktis. Pembayaran token listrik cukup di rumah saja, tidak perlu keluar. Apalagi transaksi nya cepat masuk, semoga bisa dipertahankan sistem nya.","fitur aplikasi sangat bermanfaat dan praktis. pembayaran token listrik cukup di rumah saja, tidak perlu keluar. apalagi transaksi nya cepat masuk, semoga bisa dipertahankan sistem nya."
148,seftiady arlan,5,2022-06-15 16:31:37,Cukup tanggap juga sewaktu token tidak bisa dipakai selalu gagal. Pilih pengaduan 30menit kemudian dari pihak pln telpon lalu dikasih petunjuk supaya bisa.,cukup tanggap juga sewaktu token tidak bisa dipakai selalu gagal. pilih pengaduan 30menit kemudian dari pihak pln telpon lalu dikasih petunjuk supaya bisa.
149,MUHAMMAD. SAROFI SAROFi,5,2022-06-15 15:27:35,Trimakasih PLN mobile aplikasinya sangat membantu dan sangat manfa. At semoga kedepan nya semakin maju dan nyaman 🙏🙏,trimakasih pln mobile aplikasinya sangat membantu dan sangat manfa. at semoga kedepan nya semakin maju dan nyaman 🙏🙏
150,Jarwo Skw,1,2022-06-15 15:22:17,"Aplikasi ini bikin pusing Ga jelas banget, Moga ada perbaikan biyar ada manfaatnya Sudah di update berulang kali maaih sama selalu aja di suruh melengkapi profil verivikasi akun tp di ikuti pun hasilnya sama, sudah di di ikuti bersih kan cache juga sama pokoknya ga jelas banget ni aplikasi. ga sprti aplikasi lain asalkan di ikuti panduannya pasti jd,","aplikasi ini bikin pusing ga jelas banget, moga ada perbaikan biyar ada manfaatnya sudah di update berulang kali maaih sama selalu aja di suruh melengkapi profil verivikasi akun tp di ikuti pun hasilnya sama, sudah di di ikuti bersih kan cache juga sama pokoknya ga jelas banget ni aplikasi. ga sprti aplikasi lain asalkan di ikuti panduannya pasti jd,"
151,Richy Rolandi,5,2022-06-15 14:49:42,"Bagus sudah terupdate. Lebih nyaman menunya, sesuai dengan pelayanan PLNnya juga.. Terima kasih PLN","bagus sudah terupdate. lebih nyaman menunya, sesuai dengan pelayanan plnnya juga.. terima kasih pln"
152,Bagas Budianto,5,2022-06-15 14:25:08,Respon pengaduannya sangat cepat. Sangat membantu sekali. Langkah2 yang di tunjukan juga mudah. Terimakasih PLN mobile,respon pengaduannya sangat cepat. sangat membantu sekali. langkah2 yang di tunjukan juga mudah. terimakasih pln mobile
153,Novi Bhee,1,2022-06-15 14:05:15,"Kecewa banget beli token via PLN mobile tp no token gak muncul2 akhirnya ngubungi call center pusat, baru dikasih no token nya. Di cek sampai hari ini pun token d PLN mobile tetap tidak muncul. Malah tertulis kadaluarsa padahal udah di transfer. Aahh kapook beli token lewat PLN mobile, kalo ujung2 nya harus nelpon lagi k call center pusat tuk nanya nomor token 🤦","kecewa banget beli token via pln mobile tp no token gak muncul2 akhirnya ngubungi call center pusat, baru dikasih no token nya. di cek sampai hari ini pun token d pln mobile tetap tidak muncul. malah tertulis kadaluarsa padahal udah di transfer. aahh kapook beli token lewat pln mobile, kalo ujung2 nya harus nelpon lagi k call center pusat tuk nanya nomor token 🤦"
154,SeaMonster,1,2022-06-15 14:05:11,"Semenjak saya menanyakan perihal refund iconnet yang saya tanyakan melalui whatsapp, CSnya tidak balas - balas pesan saya, sudah 1 bulan lebih saya menunggu Uang saya direfund terkait gagal pemasangan internet iconnet karena jarak tiang terlalu jauh, please saya butuh refund uang saya :')","semenjak saya menanyakan perihal refund iconnet yang saya tanyakan melalui whatsapp, csnya tidak balas - balas pesan saya, sudah 1 bulan lebih saya menunggu uang saya direfund terkait gagal pemasangan internet iconnet karena jarak tiang terlalu jauh, please saya butuh refund uang saya :')"
155,Lasiman Lasiman,5,2022-06-15 12:30:28,"Untuk pelayanan Iconnet PLN mohon proses pasang baru di mudahkan ketersediaan Jaringan iconnet, di lingkungan sdh banyak jaringan pakai langganan indihome/Telkomsel. Banyak masyarakat yg tertarik pada ICONNET dan berkeinginan ganti dari indihome ke Iconnet pln... Tapi tidak bisa terealisasi karena jaringan tidak ada.. Mohon ketersediaan jaringannya dan proses pasang baru semakin baik .","untuk pelayanan iconnet pln mohon proses pasang baru di mudahkan ketersediaan jaringan iconnet, di lingkungan sdh banyak jaringan pakai langganan indihome/telkomsel. banyak masyarakat yg tertarik pada iconnet dan berkeinginan ganti dari indihome ke iconnet pln... tapi tidak bisa terealisasi karena jaringan tidak ada.. mohon ketersediaan jaringannya dan proses pasang baru semakin baik ."
156,Endavid Yusyaf,5,2022-06-15 09:50:19,"Aplikasi nya sangat membantu dalam segala urusan kelistrikan, beli token, bayar tagihan semua bisa. Terus kembangkan karena sangat bermanfaat.","aplikasi nya sangat membantu dalam segala urusan kelistrikan, beli token, bayar tagihan semua bisa. terus kembangkan karena sangat bermanfaat."
157,Priamuji Priamuji,5,2022-06-15 08:02:48,"Terimakasih panggilan gangguannya cepat merespon,, penanganan juga cepat., moga terus lancarkan tugasnya","terimakasih panggilan gangguannya cepat merespon,, penanganan juga cepat., moga terus lancarkan tugasnya"
158,iman nurzaman,2,2022-06-15 06:41:33,"Bintang 2 dulu, buat laporan gangguan listrik sih okeh, tp buat laporan gangguan internet lewat aplikasi selalu tidak bisa, meskipun koneksi seluler sekenceng apa pun, mohon segera diperbaiki","bintang 2 dulu, buat laporan gangguan listrik sih okeh, tp buat laporan gangguan internet lewat aplikasi selalu tidak bisa, meskipun koneksi seluler sekenceng apa pun, mohon segera diperbaiki"
159,aang herman,1,2022-06-15 06:41:20,Aplikasi yang sangat sangat sangat sangat jelek...lebih baik di hapus saja...PLN sebesar ini kok aplikasi nya tidak berkelas..bahkan salah sama aplikasi game kacangan,aplikasi yang sangat sangat sangat sangat jelek...lebih baik di hapus saja...pln sebesar ini kok aplikasi nya tidak berkelas..bahkan salah sama aplikasi game kacangan
160,Teguh Joko P.,5,2022-06-15 03:03:37,aplikasi berfungsi dengan baik. mencoba karena ada gangguan listrik padam. dan responnya sangat cepat. good job. 👍,aplikasi berfungsi dengan baik. mencoba karena ada gangguan listrik padam. dan responnya sangat cepat. good job. 👍
161,Yora Novita,1,2022-06-14 20:56:38,Sudah membayar pemasangan Iconnet lewat Aplikasi PLN Mobile tapi setelah petugas datang kata nya tidak bisa dilakukan pemasangan karena tidak ada tiang. Ingin melakukan pengaduan lewat Aplikasi untuk mengembalikan Biaya pemasangan. Tapi tidak bisa dilakukan data di Aplikasi tiba2 berubah tidak bisa memasukan ID PLN di Aplikasi dan tidak bisa melakukan pengaduan karena selalu gagal. Sampai sekarang tetap tidak bisa melakukan pengaduan ICONNET di PLN Mobile.,sudah membayar pemasangan iconnet lewat aplikasi pln mobile tapi setelah petugas datang kata nya tidak bisa dilakukan pemasangan karena tidak ada tiang. ingin melakukan pengaduan lewat aplikasi untuk mengembalikan biaya pemasangan. tapi tidak bisa dilakukan data di aplikasi tiba2 berubah tidak bisa memasukan id pln di aplikasi dan tidak bisa melakukan pengaduan karena selalu gagal. sampai sekarang tetap tidak bisa melakukan pengaduan iconnet di pln mobile.
162,Rondy Joko,1,2022-06-14 20:31:51,"Aplikasi gak guna , sy udh daftar iconet udh 1 Minggu lebih gak ada yg instalasi kerumah , mana Sudah bayar udh lunas dan klwr tagihan di bulan July , tapi gak di pasang2 kesel lama2 pengaduan di wa jg gak d jawab , dtlpn nunggu 10 hari kerja emg harus 10 hari kerja baru di pasang , kalo gini dari awal ogah daftar .","aplikasi gak guna , sy udh daftar iconet udh 1 minggu lebih gak ada yg instalasi kerumah , mana sudah bayar udh lunas dan klwr tagihan di bulan july , tapi gak di pasang2 kesel lama2 pengaduan di wa jg gak d jawab , dtlpn nunggu 10 hari kerja emg harus 10 hari kerja baru di pasang , kalo gini dari awal ogah daftar ."
163,RASBANI IND,5,2022-06-14 18:08:07,"Aplikasi nya mantap sekali sangat membantu jika ada masalah sama meteran bisa di adukan langsung di kasih panduan dan pelayanan sangat baik, ramah dan sabar.","aplikasi nya mantap sekali sangat membantu jika ada masalah sama meteran bisa di adukan langsung di kasih panduan dan pelayanan sangat baik, ramah dan sabar."
164,SUBHAN rasya,5,2022-06-14 17:43:56,Aplikasi mobile ini hanya baik buat masalah kelistrikan tapi utk layanan ICONNET mohon waspada & teliti soal jaringan sdh masuk gak nya ke rumah! Jangan sampai anda sdh registrasi & bayar via aplikasi tetapi lama menunggu gak aktif2 & jika tanya pihak PLN pastinya bukan urusan PLN ( PLN hanya melayani soal kelistrikan & gak bertanggung jawab masalah layanan produk internet iconnet ).,aplikasi mobile ini hanya baik buat masalah kelistrikan tapi utk layanan iconnet mohon waspada & teliti soal jaringan sdh masuk gak nya ke rumah! jangan sampai anda sdh registrasi & bayar via aplikasi tetapi lama menunggu gak aktif2 & jika tanya pihak pln pastinya bukan urusan pln ( pln hanya melayani soal kelistrikan & gak bertanggung jawab masalah layanan produk internet iconnet ).
165,Mira Permata,5,2022-06-14 17:02:43,"Kalau daftar pemasangan listrik baru lewat online prosesnya bisa hampir sebulan baru petugas datang kerumah. Itu pun harus pengaduan lewat tlp 3x,lewat layanan email, dan lewat WA berhari-hari. Kalau daftar langsung lewat bawah tanah, sehari juga udah beres. Lucunya dunia ini, kalau pake lewat bawah baru lancar kayak aspal. 😂😂😂😂😂","kalau daftar pemasangan listrik baru lewat online prosesnya bisa hampir sebulan baru petugas datang kerumah. itu pun harus pengaduan lewat tlp 3x,lewat layanan email, dan lewat wa berhari-hari. kalau daftar langsung lewat bawah tanah, sehari juga udah beres. lucunya dunia ini, kalau pake lewat bawah baru lancar kayak aspal. 😂😂😂😂😂"
166,dewi Pertiwi,5,2022-06-14 16:53:05,"Alhamdulillah Dengan aplikasi plnmobile, menjadi lebih mudah dan praktis, semoga ke depan lebih canggih lagi.👏👏👍","alhamdulillah dengan aplikasi plnmobile, menjadi lebih mudah dan praktis, semoga ke depan lebih canggih lagi.👏👏👍"
167,Muhammad Arisandi,5,2022-06-14 15:13:33,"Masih mencoba berpikir realistis jika proses masih menunggu tp 2x 24 jam sangat tidak masuk akal, pembayaran yg sudah di lakukan 5-6 hari lalu tp status masih menunggu pembayaran, niat hati ingin cepat dan dapat pelayanan bagus tp malah di kecewakan dengan tidak ada solusi lain. Mengajukan di tanggal 2 juni dan di pasang 14 juni 2022, semoga jaringannya tidak mengecewakan lg dan pelayanan nya cepat jika di butuhkan🙌","masih mencoba berpikir realistis jika proses masih menunggu tp 2x 24 jam sangat tidak masuk akal, pembayaran yg sudah di lakukan 5-6 hari lalu tp status masih menunggu pembayaran, niat hati ingin cepat dan dapat pelayanan bagus tp malah di kecewakan dengan tidak ada solusi lain. mengajukan di tanggal 2 juni dan di pasang 14 juni 2022, semoga jaringannya tidak mengecewakan lg dan pelayanan nya cepat jika di butuhkan🙌"
168,OM Hoho,4,2022-06-14 12:02:51,"Aplikasi macam apa ini, sudah verifikasi upgrade akun foto ktp tp belum ada hasil. Katanya proses 1x24 jam. Uda sebulan verifikasi belum berhasil.","aplikasi macam apa ini, sudah verifikasi upgrade akun foto ktp tp belum ada hasil. katanya proses 1x24 jam. uda sebulan verifikasi belum berhasil."
169,Azise Setiawan,5,2022-06-14 11:35:08,"App sudah mulai bagus, penanganan, pelayanan bagus. Langsung dikonfirmasi dan djelaskan kendala. Ok, kedepannya bisa lebih baik terus.","app sudah mulai bagus, penanganan, pelayanan bagus. langsung dikonfirmasi dan djelaskan kendala. ok, kedepannya bisa lebih baik terus."
170,Max Kaiba,5,2022-06-14 10:20:41,"Ada masalah, ngadu lewat aplikasi, ditelpon petugas, masalah clear. Udah mantap nih aplikasi. Terus tingkatkan dari segi UX nya","ada masalah, ngadu lewat aplikasi, ditelpon petugas, masalah clear. udah mantap nih aplikasi. terus tingkatkan dari segi ux nya"
171,SEPTIAN FAUZI,1,2022-06-14 08:38:54,Saya sudah melakukan pendaftaran dan pembayaran untuk pemasangan Internet Iconnet namun sudah lebih dari 10 hari tidak ada kabar informasi untuk pemasangan nya. Sudah coba menghubungi ke nomor WA Iconnet tapi yg jawab sepertinya komputer. Mohon dibantu.,saya sudah melakukan pendaftaran dan pembayaran untuk pemasangan internet iconnet namun sudah lebih dari 10 hari tidak ada kabar informasi untuk pemasangan nya. sudah coba menghubungi ke nomor wa iconnet tapi yg jawab sepertinya komputer. mohon dibantu.
172,Robertus Rio,5,2022-06-14 08:11:12,"Sangat membantu, bisa untuk cek tagihan, beli token, proses pasang baru dan tambah daya, pengajuan pengaduan juga ada notifikasi info pemadaman.","sangat membantu, bisa untuk cek tagihan, beli token, proses pasang baru dan tambah daya, pengajuan pengaduan juga ada notifikasi info pemadaman."
173,Wanie Irwany,1,2022-06-14 08:00:18,"Sudah 14 hari kerja iconnet belum ada tindak lanjutnya. Bertanya via wa, email blm ada jawaban. Pln dan iconnet satu aplikasi... Live chat kok malah di lempar lagi. Haduuuh","sudah 14 hari kerja iconnet belum ada tindak lanjutnya. bertanya via wa, email blm ada jawaban. pln dan iconnet satu aplikasi... live chat kok malah di lempar lagi. haduuuh"
174,Nuriman Ali,5,2022-06-13 20:44:25,"Serius 1 tahun listrik saya tuktrek, pas pengaduan pakai aplikasi gak nyampe 1 hari petugas langsung datang dan sekarang sudah gak tuktrek lagi. Pelayanan bintang 5 luar biasa. Pertahankan pelayanannya biar biar rating aplikasinya juga bagus","serius 1 tahun listrik saya tuktrek, pas pengaduan pakai aplikasi gak nyampe 1 hari petugas langsung datang dan sekarang sudah gak tuktrek lagi. pelayanan bintang 5 luar biasa. pertahankan pelayanannya biar biar rating aplikasinya juga bagus"
175,M Taufik Istianto,1,2022-06-13 19:12:23,"Lemot banget, saya udah upgrade akun, udah foto ktp juga, masih belum keupgrade, padahal udah 24 jam lebih, katanya 1x24 jam, kok ini lama banget, customer service juga gitu, nunggu respon dari human nya lama banget, pas saya left chat baru dibales, dan tau2 udah diakhiri, oiya seringkali saya juga mengalami lag di dalam aplikasi. Sangat disayangkan banget sih","lemot banget, saya udah upgrade akun, udah foto ktp juga, masih belum keupgrade, padahal udah 24 jam lebih, katanya 1x24 jam, kok ini lama banget, customer service juga gitu, nunggu respon dari human nya lama banget, pas saya left chat baru dibales, dan tau2 udah diakhiri, oiya seringkali saya juga mengalami lag di dalam aplikasi. sangat disayangkan banget sih"
176,Andisyahputra Idris,5,2022-06-13 19:06:05,Aplikasi ini sangat bermanfaat. Dan bravo buat TIM PLN DUMAI. Pelayanan kalian cepat. Langsung 5 menit hidup listrik nya di atasi dengan cepat.,aplikasi ini sangat bermanfaat. dan bravo buat tim pln dumai. pelayanan kalian cepat. langsung 5 menit hidup listrik nya di atasi dengan cepat.
177,selfiyanti safitri,5,2022-06-13 15:33:07,"Terimakasih, saya mengalami kendala tidak bisa mengisi token listrik di KwH meter. Alhamdulillah dilayani dengan cepat dan masalah terselesaikan. Good Job","terimakasih, saya mengalami kendala tidak bisa mengisi token listrik di kwh meter. alhamdulillah dilayani dengan cepat dan masalah terselesaikan. good job"
178,Muslim Tojeng,3,2022-06-13 13:36:06,Sangat membantu tapi sering lambat penaganan laporan dan pemasangan baru baik daya kecil atau besar,sangat membantu tapi sering lambat penaganan laporan dan pemasangan baru baik daya kecil atau besar
179,Bakul Uni,1,2022-06-13 13:27:00,"Mau dapat potongan harga tambah daya saja harus beli kompor sama mitra PLN. Tujuan tambah daya biar listrik di rumah cukup, kalau harus beli kompor,lalu buat apa kompornya? Ga jelas ih PLN ini kasih promo. Mau tambah daya juga harus pasang iconnet, di lokasi aku saja nda ada jaringannya. Susahin pelanggan saja.. gak jelas PLN ini..","mau dapat potongan harga tambah daya saja harus beli kompor sama mitra pln. tujuan tambah daya biar listrik di rumah cukup, kalau harus beli kompor,lalu buat apa kompornya? ga jelas ih pln ini kasih promo. mau tambah daya juga harus pasang iconnet, di lokasi aku saja nda ada jaringannya. susahin pelanggan saja.. gak jelas pln ini.."
180,Mariani Ma,3,2022-06-13 13:24:20,"Semoga terus lebih baik.. Saran: agar penyampaian alasan gangguan di notif dijelaskan lebih rinci tidak saja padam - menyala Selain itu, agar dilengkapi dengan informasi SOP pengelolaan pengaduan dengan kategori gangguan (padam) maupun keluhan..","semoga terus lebih baik.. saran: agar penyampaian alasan gangguan di notif dijelaskan lebih rinci tidak saja padam - menyala selain itu, agar dilengkapi dengan informasi sop pengelolaan pengaduan dengan kategori gangguan (padam) maupun keluhan.."
181,Farah Saufika,1,2022-06-13 12:58:44,"Aplikasi tidak membantu, mau turun daya tapi di app hanya ada penambahan daya. Padahal ngurus perubahan dayanya disuruh lewat app, tapi appnya kaya gini..","aplikasi tidak membantu, mau turun daya tapi di app hanya ada penambahan daya. padahal ngurus perubahan dayanya disuruh lewat app, tapi appnya kaya gini.."
182,hery Susanto,1,2022-06-13 12:25:14,Admin kenapa belum ad perbaikan. Bulan ini bayar.. D app ini malah kadaluarsa.. Untung d email masih ada notif tp itupun ad setelah 2 hari...,admin kenapa belum ad perbaikan. bulan ini bayar.. d app ini malah kadaluarsa.. untung d email masih ada notif tp itupun ad setelah 2 hari...
183,Kurniawan Oli'i,5,2022-06-13 11:13:15,"Apknya sangat baguss,,sangat membantu dalam hal pangaduan dan lain lain. Adapun kesalahan pada saat pengaduan dll,,itu tergantung yang Maha Kuasa dan jaringan disetiap daerah masing masing. Terima kasih PLN MOBILE... Semoga sehat selalu dan dihindari dari segala musibah dan bahaya pada saat melakukan pekerjaan gangguan dimanapun berada..Aammiiin","apknya sangat baguss,,sangat membantu dalam hal pangaduan dan lain lain. adapun kesalahan pada saat pengaduan dll,,itu tergantung yang maha kuasa dan jaringan disetiap daerah masing masing. terima kasih pln mobile... semoga sehat selalu dan dihindari dari segala musibah dan bahaya pada saat melakukan pekerjaan gangguan dimanapun berada..aammiiin"
184,DH 4 NY Channel Pare,2,2022-06-13 09:37:27,Belum memuaskan aplikasi.....untuk melihat penggunaan token listrik beberapa bulan kebelakang tidak bisa yang muncul tahun kemarin,belum memuaskan aplikasi.....untuk melihat penggunaan token listrik beberapa bulan kebelakang tidak bisa yang muncul tahun kemarin
185,Cendra Chin,5,2022-06-13 09:00:35,"Di aplikasi penyambungan perubahan daya sudah selesai, padahal kenyataan belum selesai dan tidak ada petugas yang datang kerumah atau menghubungi. Ini yang error aplikasi nya atau apa?","di aplikasi penyambungan perubahan daya sudah selesai, padahal kenyataan belum selesai dan tidak ada petugas yang datang kerumah atau menghubungi. ini yang error aplikasi nya atau apa?"
186,riku Chan,5,2022-06-12 23:59:25,"Mantap aplikasinya, dan juga respon adminnya cepat ada masalah dan keluhan nggak butuh waktu lama langsung ditangani. Terima kasih PLN","mantap aplikasinya, dan juga respon adminnya cepat ada masalah dan keluhan nggak butuh waktu lama langsung ditangani. terima kasih pln"
187,Gangsar Katonnn,5,2022-06-12 20:17:20,Ngirim pengaduan kadang gagal. Tulisan di aplikasi selalu : TIDAK TERHUBUNG KE SERVER. padahal sinyal bagus. Mungkin bsa diperbaiki masalah di server,ngirim pengaduan kadang gagal. tulisan di aplikasi selalu : tidak terhubung ke server. padahal sinyal bagus. mungkin bsa diperbaiki masalah di server
188,Purdadi Utuk,5,2022-06-12 20:14:43,"Saya kasih bintang lima bentuk saya menghargai usaha PLN dalam meningkatkan pelayanan. Tapi tolong aplikasi ini disempurnakan lagi, sampai saat ini jauh dari kata sempurna untuk sebuah aplikasi.","saya kasih bintang lima bentuk saya menghargai usaha pln dalam meningkatkan pelayanan. tapi tolong aplikasi ini disempurnakan lagi, sampai saat ini jauh dari kata sempurna untuk sebuah aplikasi."
189,Yuliana Iswandini,5,2022-06-12 15:50:12,"Saya menggunakan 20mbps Stabil wifinya dan kalau ada Issue ONT modem nya , sy email ke CS dan Technisi 2 hari kemudian lsg dtg kerumah sy, mungkin karena Sudah byk customer nya,ok makasih ya Iconnet semoga makin bagus servis dan FO nya.","saya menggunakan 20mbps stabil wifinya dan kalau ada issue ont modem nya , sy email ke cs dan technisi 2 hari kemudian lsg dtg kerumah sy, mungkin karena sudah byk customer nya,ok makasih ya iconnet semoga makin bagus servis dan fo nya."
190,Chitra Ramadhani,5,2022-06-12 15:31:14,Aplikasi sangat membantu. Membeli pulsa listrik dan membayar tagihan listrik sangat mudah dan cepat.,aplikasi sangat membantu. membeli pulsa listrik dan membayar tagihan listrik sangat mudah dan cepat.
191,Dito Susanto,5,2022-06-12 13:45:00,"Terimakasih PLN mobile, semoga dg ada nya aplikasi ini bisa membantu kami masyarakat..dan untuk pengaduan nya mohon untuk disediakan obrolan chatting biar bisa komunikasi di aplikasi PLN mobile, soal ny lewat email terlalu lambat respon dan kedepannya mohon untuk pihak yg kita beri pengaduan diberikan teguran atau peringatan.. terimakasih 😊😊makin maju untuk PLN 🙏","terimakasih pln mobile, semoga dg ada nya aplikasi ini bisa membantu kami masyarakat..dan untuk pengaduan nya mohon untuk disediakan obrolan chatting biar bisa komunikasi di aplikasi pln mobile, soal ny lewat email terlalu lambat respon dan kedepannya mohon untuk pihak yg kita beri pengaduan diberikan teguran atau peringatan.. terimakasih 😊😊makin maju untuk pln 🙏"
192,RIPANT VALENTINO,1,2022-06-12 10:34:38,"Sudah dengan segala cara untuk daftar di Aplikasi ini, tapi selalu gagal, tidak dapat tersambung ke server. Mohon untuk diperbaiki","sudah dengan segala cara untuk daftar di aplikasi ini, tapi selalu gagal, tidak dapat tersambung ke server. mohon untuk diperbaiki"
193,Rifki Hakim,1,2022-06-12 10:28:55,"Saya mau naikan daya listrik, mau melakukan pembayaran tapi ga lengkap. Virtual account cuman ada bca. Harusnya dilengkapi dlu bank yg lain2 nya","saya mau naikan daya listrik, mau melakukan pembayaran tapi ga lengkap. virtual account cuman ada bca. harusnya dilengkapi dlu bank yg lain2 nya"
194,Heri Suryono,5,2022-06-12 09:53:42,"Komplain soal no token yg tidak bisa diinput, langsung ditanggapi dengan pelayanan yg cepat. Akhirnya bisa segera tertangani. Terimakasih.","komplain soal no token yg tidak bisa diinput, langsung ditanggapi dengan pelayanan yg cepat. akhirnya bisa segera tertangani. terimakasih."
195,riris meliana diputri,5,2022-06-12 08:01:13,"Pelayanan lebih cepat & lebih baik, tidak perlu mengeluarkan biaya banyak dibandingkan saat msh call center. Trims","pelayanan lebih cepat & lebih baik, tidak perlu mengeluarkan biaya banyak dibandingkan saat msh call center. trims"
196,Andik Santoso,5,2022-06-11 19:41:03,"saya pengguna android RAM 2gb,,aplikasi ini terasa ringan banget,,dan pelayanannya pun ok,,sangat bermanfaat..semoga kedepan bisa top up saldo, jadi biar lebih simpel","saya pengguna android ram 2gb,,aplikasi ini terasa ringan banget,,dan pelayanannya pun ok,,sangat bermanfaat..semoga kedepan bisa top up saldo, jadi biar lebih simpel"
197,Tubagus wira adhi karsa,1,2022-06-11 17:36:21,"Hati"" Yg mau pasang iconnet, sebagian besar sudah bayar belum ada juga pemasangan... Janji nya 10 hari kerja tapi nihil, WA dan segala macam cuma disuruh nunggu ampe budek... Nelpon lewat cs ngabisin pulsa disuruh nunggu juga... Mungkin sebagian ada yg cepat, tapi sebagian besar sama keluhannya... Yg mau pasang iconnet sekali lagi siap"" Sabar entah sampai kapan... Dipikirkan matang"" Sebelum pasang. Untuk aplikasi PLN mobile tidak masalah, yg masalah pelayanan iconnet.","hati"" yg mau pasang iconnet, sebagian besar sudah bayar belum ada juga pemasangan... janji nya 10 hari kerja tapi nihil, wa dan segala macam cuma disuruh nunggu ampe budek... nelpon lewat cs ngabisin pulsa disuruh nunggu juga... mungkin sebagian ada yg cepat, tapi sebagian besar sama keluhannya... yg mau pasang iconnet sekali lagi siap"" sabar entah sampai kapan... dipikirkan matang"" sebelum pasang. untuk aplikasi pln mobile tidak masalah, yg masalah pelayanan iconnet."
198,Nurbaity Lance,5,2022-06-11 16:27:22,"Pelayanan PLN melalui aplikasi tidak secepat layanan melalui telpon tetapi masih lumayan. Penanganan tidak terlalu cepat namun juga tidak terlalu lama, dibutuhkan sekitar 2-3 jam hingga ditangani. Semoga aplikasi dapat diperbaiki agar selanjutnya mendapatkan pemberitahuan lebih jelas terkait pembatalan. Terimakasih.","pelayanan pln melalui aplikasi tidak secepat layanan melalui telpon tetapi masih lumayan. penanganan tidak terlalu cepat namun juga tidak terlalu lama, dibutuhkan sekitar 2-3 jam hingga ditangani. semoga aplikasi dapat diperbaiki agar selanjutnya mendapatkan pemberitahuan lebih jelas terkait pembatalan. terimakasih."
